resort_name,state,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon
49(degrees) North WA,Washington,6,68,2325,0.3,697.5,0.4,930,0.3,697.5,49,-115.84
Afton Alps MN,Minnesota,21,48,300,0.2,60,0.6,180,0.2,60,44.85,-92.79
Alpine Meadows CA,California,13,100,2400,0.25,600,0.4,960,0.35,840,39.17,-120.22
Alpine Mountain PA,Pennsylvania,3,21,120,0.17,20.4,0.55,66,0.28,33.6,40.08,-76.9
Alpine Valley MI,Michigan,14,25,118,0.39,46.02,0.26,30.68,0.35,41.3,44.96,-84.87
Alpine Valley OH,Ohio,6,11,72,0.33,23.76,0.34,24.48,0.33,23.76,40.31,-83.68
Alpine Valley WI,Wisconsin,16,20,90,0.4,36,0.4,36,0.2,18,42.45,-88.25
Alta UT,Utah,11,116,2200,0.25,550,0.4,880,0.35,770,40.6,-111.64
Alyeska AK,Alaska,9,73,1500,0.11,165,0.52,780,0.37,555,60.97,-149.11
Andes Tower MN,Minnesota,4,16,45,0.35,15.75,0.35,15.75,0.3,13.5,46.73,-94.69
Angel Fire NM,New Mexico,7,77,560,0.26,145.6,0.5,280,0.24,134.4,36.39,-105.29
Anthony Lakes OR,Oregon,3,21,1100,0.2,220,0.38,418,0.42,462,44.97,-118.23
Appalachian NC,North Carolina,6,12,22,0.18,3.96,0.55,12.1,0.27,5.94,41.29,-76.57
Apple Mountain MI,Michigan,5,12,40,0.4,16,0.4,16,0.2,8,43.46,-84.1
Arapahoe Basin CO,Colorado,7,105,900,0.1,90,0.3,270,0.6,540,39.72,-104.79
Arctic Valley AK,Alaska,4,25,320,0.2,64,0.5,160,0.3,96,61.24,-149.61
Arizona Snowball AZ,Arizona ,6,40,777,0.37,287.49,0.42,326.34,0.21,163.17,35.32782,-111.69517
Aspen Highlands CO,Colorado,5,118,1028,0.18,185.04,0.3,308.4,0.52,534.56,39.12,-106.85
Aspen Mt CO,Colorado,8,76,673,0,0,0.48,323.04,0.52,349.96,39.17,-106.82
Attitash NH,New Hampshire ,11,76,310,0.2,62,0.47,145.7,0.33,102.3,44.09,-71.21
Badger Mountain WA,Washington,3,5,20,0.33,6.6,0.34,6.8,0.33,6.6,47.59,-120.19
Bald Mountain ID,Idaho,2,,140,0.25,35,0.4,56,0.35,49,44.37,-114.35
Bear Creek Mountain PA,Pennsylvania,6,21,86,0.3,25.8,0.4,34.4,0.3,25.8,41.21,-75.68
Bear Mountain CA,California,12,,748,0.3,224.4,0.4,299.2,0.3,224.4,37.1,-119.1
Bear Paw MT,Montana,1,11,80,0.25,20,0.25,20,0.5,40,41.78,-123.66
Bear Valley Mt CA,California,9,75,1680,0.25,420,0.4,672,0.35,588,39.2,-122.44
Bear's Den ND,North Dakota,3,8,30,0.25,7.5,0.5,15,0.25,7.5,46.53,-97.95
Beaver Creek CO,Colorado,25,149,1832,0.19,348.08,0.64,1172.48,0.17,311.44,39.61,-106.53
Beaver Mt UT,Utah,5,47,828,0.25,207,0.4,331.2,0.35,289.8,41.97,-111.57
Beech Mountain NC,North Carolina,10,15,95,0.3,28.5,0.4,38,0.3,28.5,36.22,-81.88
Belleayre NY,New York,8,55,171,0.22,37.62,0.58,99.18,0.2,34.2,40.86,-73.4
Berkshire East MA,Massachusetts ,6,45,400,0.3,120,0.35,140,0.35,140,42.32,-73.17
Big Boulder PA,Pennsylvania,8,15,55,0.4,22,0.35,19.25,0.25,13.75,41.05,-75.59
Big Powderhorn MI,Michigan,10,33,253,0.35,88.55,0.35,88.55,0.3,75.9,46.49,-90.1
